framework                        , test                                                         , time    
cosignals                        , fanout                                                       , 4.11    
cosignals                        , transition                                                   , 5.81    
cosignals                        , mount                                                        , 189.49  
cosignals-arena                  , fanout                                                       , 4.16    
cosignals-arena                  , transition                                                   , 5.80    
cosignals-arena                  , mount                                                        , 181.05  
cosignals-reducer                , fanout                                                       , 6.16    
cosignals-reducer                , transition                                                   , 5.69    
cosignals-reducer                , mount                                                        , 227.65  
alien-uses                       , fanout                                                       , 3.92    
alien-uses                       , transition                                                   , 1.94    
alien-uses                       , mount                                                        , 173.14  
dalien-uses                      , fanout                                                       , 4.09    
dalien-uses                      , transition                                                   , 1.86    
dalien-uses                      , mount                                                        , 173.43  
redux-toolkit                    , fanout                                                       , 8.27    
redux-toolkit                    , transition                                                   , 1.88    
redux-toolkit                    , mount                                                        , 186.46  
baseline-context                 , fanout                                                       , 29.75   
baseline-context                 , transition                                                   , 1.91    
baseline-context                 , mount                                                        , 150.78  
baseline-local                   , fanout                                                       , 3.66    
baseline-local                   , transition                                                   , 5.60    
baseline-local                   , mount                                                        , 158.43  
