framework                        , test                                                         , time    
cosignals                        , fanout                                                       , 4.38    
cosignals                        , transition                                                   , 7.88    
cosignals                        , mount                                                        , 285.32  
cosignals-arena                  , fanout                                                       , 4.05    
cosignals-arena                  , transition                                                   , 10.64   
cosignals-arena                  , mount                                                        , 325.39  
alien-uses                       , fanout                                                       , 3.66    
alien-uses                       , transition                                                   , 2.37    
alien-uses                       , mount                                                        , 290.51  
dalien-uses                      , fanout                                                       , 3.65    
dalien-uses                      , transition                                                   , 2.13    
dalien-uses                      , mount                                                        , 290.77  
baseline-context                 , fanout                                                       , 31.53   
baseline-context                 , transition                                                   , 5.98    
baseline-context                 , mount                                                        , 182.91  
baseline-local                   , fanout                                                       , 3.69    
baseline-local                   , transition                                                   , 9.50    
baseline-local                   , mount                                                        , 220.03  
