framework                        , test                                                         , time     , gcMinorN     , gcMinorMs    , gcMajorN     , gcMajorMs    , gcIncrN      , gcIncrMs     , gcWeakN      , gcWeakMs     , peakHeapMb   , peakExtMb    , peakArrMb    , peakTotalMb  , peakRssMb    , floorMb      , floorDeltaMb
Alien Signals                    , createSignals                                                , 10.00    ,              ,              ,              ,              ,              ,              ,              ,              , 72.51        , 0.33         , 0.00         , 72.85        , 180.23       ,              ,             
Alien Signals                    , createComputations                                           , 145.37   ,              ,              ,              ,              ,              ,              ,              ,              , 73.35        , 0.46         , 0.00         , 73.71        , 259.83       ,              ,             
Alien Signals                    , updateSignals                                                , 329.27   ,              ,              ,              ,              ,              ,              ,              ,              , 53.92        , 0.66         , 0.00         , 54.38        , 260.03       ,              ,             
Alien Signals                    , avoidablePropagation                                         , 59.69    ,              ,              ,              ,              ,              ,              ,              ,              , 28.62        , 0.93         , 0.00         , 29.57        , 253.66       ,              ,             
Alien Signals                    , broadPropagation                                             , 123.37   ,              ,              ,              ,              ,              ,              ,              ,              , 28.71        , 0.96         , 0.00         , 29.68        , 134.46       ,              ,             
Alien Signals                    , deepPropagation                                              , 39.56    ,              ,              ,              ,              ,              ,              ,              ,              , 28.75        , 0.98         , 0.00         , 29.73        , 132.55       ,              ,             
Alien Signals                    , diamond                                                      , 77.81    ,              ,              ,              ,              ,              ,              ,              ,              , 28.79        , 1.00         , 0.00         , 29.80        , 141.06       ,              ,             
Alien Signals                    , mux                                                          , 70.06    ,              ,              ,              ,              ,              ,              ,              ,              , 29.03        , 1.03         , 0.00         , 30.07        , 143.91       ,              ,             
Alien Signals                    , repeatedObservers                                            , 19.33    ,              ,              ,              ,              ,              ,              ,              ,              , 29.06        , 1.05         , 0.00         , 30.11        , 144.27       ,              ,             
Alien Signals                    , triangle                                                     , 27.22    ,              ,              ,              ,              ,              ,              ,              ,              , 29.11        , 1.09         , 0.00         , 30.20        , 147.20       ,              ,             
Alien Signals                    , unstable                                                     , 31.94    ,              ,              ,              ,              ,              ,              ,              ,              , 39.22        , 1.09         , 0.00         , 39.85        , 146.23       ,              ,             
Alien Signals                    , molBench                                                     , 12.72    ,              ,              ,              ,              ,              ,              ,              ,              , 17.81        , 0.68         , 0.00         , 18.49        , 145.58       ,              ,             
Alien Signals                    , cellx1000                                                    , 9.92     ,              ,              ,              ,              ,              ,              ,              ,              , 18.02        , 0.75         , 0.00         , 18.77        , 149.29       ,              ,             
Alien Signals                    , cellx2500                                                    , 20.00    ,              ,              ,              ,              ,              ,              ,              ,              , 18.02        , 0.75         , 0.00         , 18.77        , 152.85       ,              ,             
Alien Signals                    , 2-10x5 - lazy80%                                             , 261.84   ,              ,              ,              ,              ,              ,              ,              ,              , 2.12         , 0.84         , 0.00         , 2.97         , 152.85       ,              ,             
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 185.29   ,              ,              ,              ,              ,              ,              ,              ,              , 2.20         , 0.86         , 0.00         , 3.06         , 98.70        ,              ,             
Alien Signals                    , 4-1000x12 - dyn5%                                            , 310.73   ,              ,              ,              ,              ,              ,              ,              ,              , 9.54         , 0.86         , 0.00         , 9.79         , 106.22       ,              ,             
Alien Signals                    , 25-1000x5                                                    , 434.92   ,              ,              ,              ,              ,              ,              ,              ,              , 19.02        , 0.53         , 0.00         , 19.55        , 98.34        ,              ,             
Alien Signals                    , 3-5x500                                                      , 112.38   ,              ,              ,              ,              ,              ,              ,              ,              , 20.55        , 0.53         , 0.00         , 21.08        , 101.20       ,              ,             
Alien Signals                    , 6-100x15 - dyn50%                                            , 235.76   ,              ,              ,              ,              ,              ,              ,              ,              , 21.77        , 0.53         , 0.00         , 22.30        , 103.20       ,              ,             
Dalien Signals                   , createSignals                                                , 3.71     ,              ,              ,              ,              ,              ,              ,              ,              , 119.34       , 65.57        , 65.00        , 249.91       , 228.09       ,              ,             
Dalien Signals                   , createComputations                                           , 59.16    ,              ,              ,              ,              ,              ,              ,              ,              , 198.32       , 68.67        , 68.00        , 333.01       , 354.32       ,              ,             
Dalien Signals                   , updateSignals                                                , 285.12   ,              ,              ,              ,              ,              ,              ,              ,              , 168.46       , 68.04        , 67.00        , 303.51       , 338.83       ,              ,             
Dalien Signals                   , avoidablePropagation                                         , 57.42    ,              ,              ,              ,              ,              ,              ,              ,              , 169.09       , 68.47        , 67.03        , 304.58       , 262.68       ,              ,             
Dalien Signals                   , broadPropagation                                             , 91.23    ,              ,              ,              ,              ,              ,              ,              ,              , 169.15       , 68.50        , 67.03        , 304.68       , 262.38       ,              ,             
Dalien Signals                   , deepPropagation                                              , 40.97    ,              ,              ,              ,              ,              ,              ,              ,              , 169.19       , 68.52        , 67.03        , 304.74       , 189.44       ,              ,             
Dalien Signals                   , diamond                                                      , 85.69    ,              ,              ,              ,              ,              ,              ,              ,              , 169.24       , 68.57        , 67.03        , 304.84       , 283.38       ,              ,             
Dalien Signals                   , mux                                                          , 58.92    ,              ,              ,              ,              ,              ,              ,              ,              , 169.38       , 68.62        , 67.03        , 305.04       , 318.88       ,              ,             
Dalien Signals                   , repeatedObservers                                            , 10.81    ,              ,              ,              ,              ,              ,              ,              ,              , 169.43       , 68.66        , 67.03        , 305.12       , 318.56       ,              ,             
Dalien Signals                   , triangle                                                     , 23.94    ,              ,              ,              ,              ,              ,              ,              ,              , 158.75       , 68.71        , 67.03        , 294.49       , 322.36       ,              ,             
Dalien Signals                   , unstable                                                     , 34.73    ,              ,              ,              ,              ,              ,              ,              ,              , 158.81       , 68.76        , 67.03        , 294.60       , 321.46       ,              ,             
Dalien Signals                   , molBench                                                     , 13.47    ,              ,              ,              ,              ,              ,              ,              ,              , 158.87       , 68.81        , 67.03        , 294.71       , 230.17       ,              ,             
Dalien Signals                   , cellx1000                                                    , 12.68    ,              ,              ,              ,              ,              ,              ,              ,              , 163.11       , 70.25        , 67.03        , 298.52       , 236.79       ,              ,             
Dalien Signals                   , cellx2500                                                    , 30.43    ,              ,              ,              ,              ,              ,              ,              ,              , 162.88       , 78.98        , 67.03        , 308.90       , 236.79       ,              ,             
Dalien Signals                   , 2-10x5 - lazy80%                                             , 205.87   ,              ,              ,              ,              ,              ,              ,              ,              , 169.47       , 84.49        , 67.03        , 321.09       , 314.56       ,              ,             
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 133.63   ,              ,              ,              ,              ,              ,              ,              ,              , 172.23       , 87.22        , 67.03        , 326.58       , 279.98       ,              ,             
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 272.38   ,              ,              ,              ,              ,              ,              ,              ,              , 178.39       , 88.50        , 67.03        , 332.68       , 183.13       ,              ,             
Dalien Signals                   , 25-1000x5                                                    , 350.59   ,              ,              ,              ,              ,              ,              ,              ,              , 181.89       , 91.21        , 67.03        , 340.13       , 182.56       ,              ,             
Dalien Signals                   , 3-5x500                                                      , 88.78    ,              ,              ,              ,              ,              ,              ,              ,              , 185.40       , 93.92        , 67.03        , 346.35       , 181.99       ,              ,             
Dalien Signals                   , 6-100x15 - dyn50%                                            , 209.47   ,              ,              ,              ,              ,              ,              ,              ,              , 188.63       , 96.64        , 67.03        , 352.31       , 184.65       ,              ,             
Dalien Malloc Free               , createSignals                                                , 7.99     ,              ,              ,              ,              ,              ,              ,              ,              , 357.00       , 194.20       , 193.00       , 744.20       , 615.75       ,              ,             
Dalien Malloc Free               , createComputations                                           , 61.97    ,              ,              ,              ,              ,              ,              ,              ,              , 369.88       , 202.20       , 201.00       , 760.20       , 633.61       ,              ,             
Dalien Malloc Free               , updateSignals                                                , 308.62   ,              ,              ,              ,              ,              ,              ,              ,              , 370.38       , 139.71       , 138.50       , 648.59       , 706.26       ,              ,             
Dalien Malloc Free               , avoidablePropagation                                         , 65.04    ,              ,              ,              ,              ,              ,              ,              ,              , 370.87       , 140.07       , 138.53       , 649.48       , 509.72       ,              ,             
Dalien Malloc Free               , broadPropagation                                             , 97.06    ,              ,              ,              ,              ,              ,              ,              ,              , 370.91       , 140.09       , 138.53       , 649.53       , 510.64       ,              ,             
Dalien Malloc Free               , deepPropagation                                              , 39.07    ,              ,              ,              ,              ,              ,              ,              ,              , 370.93       , 140.11       , 138.53       , 649.57       , 400.80       ,              ,             
Dalien Malloc Free               , diamond                                                      , 82.53    ,              ,              ,              ,              ,              ,              ,              ,              , 370.97       , 140.13       , 138.53       , 649.63       , 546.09       ,              ,             
Dalien Malloc Free               , mux                                                          , 69.75    ,              ,              ,              ,              ,              ,              ,              ,              , 371.06       , 140.17       , 138.53       , 649.75       , 604.74       ,              ,             
Dalien Malloc Free               , repeatedObservers                                            , 14.68    ,              ,              ,              ,              ,              ,              ,              ,              , 371.09       , 140.19       , 138.53       , 649.80       , 586.26       ,              ,             
Dalien Malloc Free               , triangle                                                     , 27.27    ,              ,              ,              ,              ,              ,              ,              ,              , 371.13       , 140.22       , 138.53       , 649.88       , 549.25       ,              ,             
Dalien Malloc Free               , unstable                                                     , 25.16    ,              ,              ,              ,              ,              ,              ,              ,              , 371.17       , 140.25       , 138.53       , 649.95       , 549.81       ,              ,             
Dalien Malloc Free               , molBench                                                     , 12.65    ,              ,              ,              ,              ,              ,              ,              ,              , 371.21       , 140.28       , 138.53       , 650.01       , 549.40       ,              ,             
Dalien Malloc Free               , cellx1000                                                    , 5.31     ,              ,              ,              ,              ,              ,              ,              ,              , 371.76       , 140.37       , 138.53       , 650.66       , 552.40       ,              ,             
Dalien Malloc Free               , cellx2500                                                    , 15.21    ,              ,              ,              ,              ,              ,              ,              ,              , 371.89       , 140.37       , 138.53       , 650.78       , 553.89       ,              ,             
