framework                        , test                                                         , time     , gcMinorN     , gcMinorMs    , gcMajorN     , gcMajorMs    , gcIncrN      , gcIncrMs     , gcWeakN      , gcWeakMs     , peakHeapMb   , peakExtMb    , peakArrMb    , peakTotalMb  , peakRssMb    , floorMb      , floorDeltaMb
Alien Signals                    , createSignals                                                , 5.61     , 7            , 23.1         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 183.09       , 8.32         , 2.39         , 189.53       , 333.50       ,              ,             
Alien Signals                    , createComputations                                           , 221.41   , 72           , 1015.8       , 5            , 37.9         , 5            , 4.8          , 0            , 0.0          , 215.16       , 6.31         , 0.13         , 221.60       , 456.94       ,              ,             
Alien Signals                    , updateSignals                                                , 380.47   , 23           , 148.7        , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.04        , 6.31         , 0.13         , 69.49        , 447.11       ,              ,             
Alien Signals                    , avoidablePropagation                                         , 131.57   , 21           , 6.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.05        , 6.31         , 0.13         , 69.49        , 449.36       ,              ,             
Alien Signals                    , broadPropagation                                             , 132.98   , 11           , 3.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 62.12        , 6.31         , 0.13         , 68.56        , 449.36       ,              ,             
Alien Signals                    , deepPropagation                                              , 48.41    , 8            , 2.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 73.29        , 6.31         , 0.13         , 79.73        , 449.36       ,              ,             
Alien Signals                    , diamond                                                      , 116.54   , 12           , 3.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 73.29        , 6.31         , 0.13         , 79.73        , 449.48       ,              ,             
Alien Signals                    , mux                                                          , 124.85   , 23           , 6.8          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.98        , 6.31         , 0.13         , 70.43        , 449.61       ,              ,             
Alien Signals                    , repeatedObservers                                            , 23.70    , 4            , 1.2          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.99        , 6.31         , 0.13         , 70.43        , 449.61       ,              ,             
Alien Signals                    , triangle                                                     , 35.11    , 4            , 1.3          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 55.66        , 6.31         , 0.13         , 62.10        , 449.61       ,              ,             
Alien Signals                    , unstable                                                     , 31.35    , 4            , 1.2          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 32.69        , 6.31         , 0.13         , 39.14        , 449.73       ,              ,             
Alien Signals                    , molBench                                                     , 23.10    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 37.63        , 6.31         , 0.13         , 44.07        , 449.73       ,              ,             
Alien Signals                    , cellx1000                                                    , 14.25    , 1            , 1.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 40.42        , 6.31         , 0.13         , 46.86        , 449.98       ,              ,             
Alien Signals                    , cellx2500                                                    , 38.01    , 1            , 6.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 49.82        , 6.31         , 0.13         , 56.27        , 450.23       ,              ,             
Alien Signals                    , 2-10x5 - lazy80%                                             , 238.25   , 19           , 11.1         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 75.91        , 6.31         , 0.13         , 82.35        , 450.36       ,              ,             
