framework                        , test                                                         , time     , gcMinorN     , gcMinorMs    , gcMajorN     , gcMajorMs    , gcIncrN      , gcIncrMs     , gcWeakN      , gcWeakMs     , peakHeapMb   , peakExtMb    , peakArrMb    , peakTotalMb  , peakRssMb    , floorMb      , floorDeltaMb
Dalien Signals                   , createSignals                                                , 4.36     , 6            , 20.7         , 1            , 1.6          , 1            , 0.2          , 0            , 0.0          , 131.32       , 72.89        , 66.52        , 268.03       , 309.64       ,              ,             
Dalien Signals                   , createComputations                                           , 103.67   , 39           , 478.6        , 3            , 38.2         , 2            , 0.6          , 0            , 0.0          , 247.22       , 74.53        , 68.16        , 387.91       , 428.59       ,              ,             
Dalien Signals                   , updateSignals                                                , 474.00   , 15           , 14.9         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 252.31       , 73.53        , 67.16        , 393.01       , 429.59       ,              ,             
Dalien Signals                   , avoidablePropagation                                         , 196.70   , 7            , 3.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 258.19       , 73.53        , 67.16        , 398.88       , 430.47       ,              ,             
Dalien Signals                   , broadPropagation                                             , 180.38   , 1            , 0.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 251.75       , 73.53        , 67.16        , 392.44       , 430.47       ,              ,             
Dalien Signals                   , deepPropagation                                              , 70.43    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 261.90       , 73.53        , 67.16        , 402.59       , 430.59       ,              ,             
Dalien Signals                   , diamond                                                      , 173.35   , 9            , 4.3          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 270.01       , 73.53        , 67.16        , 410.70       , 430.72       ,              ,             
Dalien Signals                   , mux                                                          , 157.50   , 19           , 9.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 270.01       , 73.53        , 67.16        , 410.71       , 431.09       ,              ,             
Dalien Signals                   , repeatedObservers                                            , 32.04    , 2            , 1.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 268.15       , 73.53        , 67.16        , 408.85       , 431.09       ,              ,             
Dalien Signals                   , triangle                                                     , 53.62    , 3            , 1.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 259.36       , 73.53        , 67.16        , 400.05       , 431.22       ,              ,             
Dalien Signals                   , unstable                                                     , 41.63    , 1            , 0.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 259.31       , 73.53        , 67.16        , 400.00       , 431.34       ,              ,             
Dalien Signals                   , molBench                                                     , 33.62    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 222.14       , 73.53        , 67.16        , 362.84       , 431.34       ,              ,             
Dalien Signals                   , cellx1000                                                    , 13.92    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 237.42       , 73.53        , 67.16        , 378.12       , 434.34       ,              ,             
Dalien Signals                   , cellx2500                                                    , 31.83    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 269.74       , 73.53        , 67.16        , 410.43       , 441.97       ,              ,             
Dalien Signals                   , 2-10x5 - lazy80%                                             , 330.27   , 8            , 57.9         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 290.52       , 73.53        , 67.16        , 431.22       , 469.97       ,              ,             
Dalien Signals                   , 6-10x10 - dyn25% - lazy80%                                   , 223.37   , 1            , 0.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 292.37       , 73.53        , 67.16        , 433.06       , 470.09       ,              ,             
Dalien Signals                   , 4-1000x12 - dyn5%                                            , 546.57   , 10           , 13.1         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 292.37       , 73.53        , 67.16        , 433.06       , 471.43       ,              ,             
Dalien Signals                   , 25-1000x5                                                    , 696.06   , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 281.33       , 73.53        , 67.16        , 422.02       , 471.43       ,              ,             
Dalien Signals                   , 3-5x500                                                      , 169.11   , 3            , 7.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 282.23       , 73.53        , 67.16        , 422.93       , 471.43       ,              ,             
Dalien Signals                   , 6-100x15 - dyn50%                                            , 270.60   , 3            , 2.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 167.62       , 73.53        , 67.16        , 308.31       , 467.70       ,              ,             
Alien Signals                    , createSignals                                                , 5.89     , 7            , 29.1         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 66.80        , 8.60         , 2.49         , 73.43        , 317.96       ,              ,             
Alien Signals                    , createComputations                                           , 216.95   , 59           , 1033.9       , 9            , 68.4         , 9            , 5.7          , 0            , 0.0          , 171.94       , 6.50         , 0.13         , 178.57       , 397.41       ,              ,             
Alien Signals                    , updateSignals                                                , 547.30   , 23           , 239.2        , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 57.11        , 6.50         , 0.13         , 63.74        , 384.63       ,              ,             
Alien Signals                    , avoidablePropagation                                         , 186.44   , 21           , 7.9          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 63.11        , 6.50         , 0.13         , 69.74        , 385.76       ,              ,             
Alien Signals                    , broadPropagation                                             , 174.03   , 11           , 3.7          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 65.15        , 6.50         , 0.13         , 71.78        , 386.38       ,              ,             
Alien Signals                    , deepPropagation                                              , 63.15    , 8            , 2.8          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 76.30        , 6.50         , 0.13         , 82.93        , 386.76       ,              ,             
Alien Signals                    , diamond                                                      , 153.25   , 12           , 4.3          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 76.31        , 6.50         , 0.13         , 82.93        , 387.01       ,              ,             
Alien Signals                    , mux                                                          , 154.52   , 23           , 8.3          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 67.01        , 6.50         , 0.13         , 73.63        , 387.38       ,              ,             
Alien Signals                    , repeatedObservers                                            , 33.97    , 4            , 1.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 67.01        , 6.50         , 0.13         , 73.64        , 387.38       ,              ,             
Alien Signals                    , triangle                                                     , 45.27    , 4            , 1.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 59.43        , 6.50         , 0.13         , 66.05        , 387.63       ,              ,             
