framework                        , test                                                         , time    
cosignal-react                   , fanout                                                       , 1.84    
cosignal-react                   , transition                                                   , 1.64    
cosignal-react                   , mount                                                        , 72.57   
alien-uses                       , fanout                                                       , 1.84    
alien-uses                       , transition                                                   , 1.59    
alien-uses                       , mount                                                        , 53.41   
dalien-uses                      , fanout                                                       , 1.96    
dalien-uses                      , transition                                                   , 1.54    
dalien-uses                      , mount                                                        , 53.43   
baseline-context                 , fanout                                                       , 12.98   
baseline-context                 , transition                                                   , 2.90    
baseline-context                 , mount                                                        , 52.99   
baseline-local                   , fanout                                                       , 1.68    
baseline-local                   , transition                                                   , 1.74    
baseline-local                   , mount                                                        , 55.85   
alt-a-uses                       , fanout                                                       , 1.80    
alt-a-uses                       , transition                                                   , 1.55    
alt-a-uses                       , mount                                                        , 54.95   
alt-b-uses                       , fanout                                                       , 1.86    
alt-b-uses                       , transition                                                   , 1.49    
alt-b-uses                       , mount                                                        , 53.28   
