framework                        , test                                                         , time    
Alien Signals                    , createSignals                                                , 6.18    
Alien Signals                    , createComputations                                           , 235.45  
Alien Signals                    , updateSignals                                                , 520.58  
Alien Signals                    , avoidablePropagation                                         , 182.84  
Alien Signals                    , broadPropagation                                             , 169.75  
Alien Signals                    , deepPropagation                                              , 61.91   
Alien Signals                    , diamond                                                      , 155.72  
Alien Signals                    , mux                                                          , 154.80  
Alien Signals                    , repeatedObservers                                            , 34.12   
Alien Signals                    , triangle                                                     , 47.32   
Alien Signals                    , unstable                                                     , 37.38   
Alien Signals                    , molBench                                                     , 32.20   
Alien Signals                    , cellx1000                                                    , 13.88   
Alien Signals                    , cellx2500                                                    , 25.11   
Alien Signals                    , 2-10x5 - lazy80%                                             , 276.50  
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 178.13  
Alien Signals                    , 4-1000x12 - dyn5%                                            , 429.97  
Alien Signals                    , 25-1000x5                                                    , 656.78  
Alien Signals                    , 3-5x500                                                      , 143.41  
Alien Signals                    , 6-100x15 - dyn50%                                            , 242.29  
Cosignal                         , createSignals                                                , 18.44   
Cosignal                         , createComputations                                           , 150.11  
Cosignal                         , updateSignals                                                , 540.58  
Cosignal                         , avoidablePropagation                                         , 204.73  
Cosignal                         , broadPropagation                                             , 196.69  
Cosignal                         , deepPropagation                                              , 75.33   
Cosignal                         , diamond                                                      , 183.48  
Cosignal                         , mux                                                          , 159.00  
Cosignal                         , repeatedObservers                                            , 39.85   
Cosignal                         , triangle                                                     , 51.44   
Cosignal                         , unstable                                                     , 42.68   
Cosignal                         , molBench                                                     , 32.25   
Cosignal                         , cellx1000                                                    , 10.42   
Cosignal                         , cellx2500                                                    , 19.96   
Cosignal                         , 2-10x5 - lazy80%                                             , 329.49  
Cosignal                         , 6-10x10 - dyn25% - lazy80%                                   , 186.42  
Cosignal                         , 4-1000x12 - dyn5%                                            , 366.66  
Cosignal                         , 25-1000x5                                                    , 435.92  
Cosignal                         , 3-5x500                                                      , 141.11  
Cosignal                         , 6-100x15 - dyn50%                                            , 229.41  
Cosignal Alt A                   , createSignals                                                , 159.53  
Cosignal Alt A                   , createComputations                                           , 215.21  
Cosignal Alt A                   , updateSignals                                                , 505.16  
Cosignal Alt A                   , avoidablePropagation                                         , 244.63  
Cosignal Alt A                   , broadPropagation                                             , 223.26  
Cosignal Alt A                   , deepPropagation                                              , 89.49   
Cosignal Alt A                   , diamond                                                      , 194.89  
Cosignal Alt A                   , mux                                                          , 173.03  
Cosignal Alt A                   , repeatedObservers                                            , 31.81   
Cosignal Alt A                   , triangle                                                     , 61.00   
Cosignal Alt A                   , unstable                                                     , 50.34   
Cosignal Alt A                   , molBench                                                     , 32.55   
Cosignal Alt A                   , cellx1000                                                    , 20.66   
Cosignal Alt A                   , cellx2500                                                    , 49.67   
Cosignal Alt A                   , 2-10x5 - lazy80%                                             , 377.27  
Cosignal Alt A                   , 6-10x10 - dyn25% - lazy80%                                   , 224.81  
Cosignal Alt A                   , 4-1000x12 - dyn5%                                            , 542.88  
Cosignal Alt A                   , 25-1000x5                                                    , 557.43  
Cosignal Alt A                   , 3-5x500                                                      , 208.22  
Cosignal Alt A                   , 6-100x15 - dyn50%                                            , 291.66  
Cosignal Alt B                   , createSignals                                                , 34.71   
Cosignal Alt B                   , createComputations                                           , 189.89  
Cosignal Alt B                   , updateSignals                                                , 647.17  
Cosignal Alt B                   , avoidablePropagation                                         , 230.77  
Cosignal Alt B                   , broadPropagation                                             , 224.49  
Cosignal Alt B                   , deepPropagation                                              , 87.43   
Cosignal Alt B                   , diamond                                                      , 209.50  
Cosignal Alt B                   , mux                                                          , 179.01  
Cosignal Alt B                   , repeatedObservers                                            , 43.16   
Cosignal Alt B                   , triangle                                                     , 61.72   
Cosignal Alt B                   , unstable                                                     , 63.89   
Cosignal Alt B                   , molBench                                                     , 32.65   
Cosignal Alt B                   , cellx1000                                                    , 11.28   
Cosignal Alt B                   , cellx2500                                                    , 26.40   
Cosignal Alt B                   , 2-10x5 - lazy80%                                             , 436.48  
Cosignal Alt B                   , 6-10x10 - dyn25% - lazy80%                                   , 238.02  
Cosignal Alt B                   , 4-1000x12 - dyn5%                                            , 565.79  
Cosignal Alt B                   , 25-1000x5                                                    , 611.75  
Cosignal Alt B                   , 3-5x500                                                      , 189.35  
Cosignal Alt B                   , 6-100x15 - dyn50%                                            , 299.24  
Royale FM1                       , createSignals                                                , 24.23   
Royale FM1                       , createComputations                                           , 617.74  
Royale FM1                       , updateSignals                                                , 891.33  
Royale FM1                       , avoidablePropagation                                         , 311.56  
Royale FM1                       , broadPropagation                                             , 335.75  
Royale FM1                       , deepPropagation                                              , 140.94  
Royale FM1                       , diamond                                                      , 261.13  
Royale FM1                       , mux                                                          , 219.90  
Royale FM1                       , repeatedObservers                                            , 31.60   
Royale FM1                       , triangle                                                     , 80.84   
Royale FM1                       , unstable                                                     , 54.64   
Royale FM1                       , molBench                                                     , 32.86   
Royale FM1                       , cellx1000                                                    , 28.97   
Royale FM1                       , cellx2500                                                    , 74.59   
Royale FM1                       , 2-10x5 - lazy80%                                             , 500.20  
Royale FM1                       , 6-10x10 - dyn25% - lazy80%                                   , 261.29  
Royale FM1                       , 4-1000x12 - dyn5%                                            , 542.18  
Royale FM1                       , 25-1000x5                                                    , 575.55  
Royale FM1                       , 3-5x500                                                      , 248.55  
Royale FM1                       , 6-100x15 - dyn50%                                            , 339.86  
Royale FM2                       , createSignals                                                , 30.51   
Royale FM2                       , createComputations                                           , 1172.52 
Royale FM2                       , updateSignals                                                , 700.51  
Royale FM2                       , avoidablePropagation                                         , 310.94  
Royale FM2                       , broadPropagation                                             , 335.57  
Royale FM2                       , deepPropagation                                              , 143.07  
Royale FM2                       , diamond                                                      , 287.27  
Royale FM2                       , mux                                                          , 220.14  
Royale FM2                       , repeatedObservers                                            , 40.72   
Royale FM2                       , triangle                                                     , 91.07   
Royale FM2                       , unstable                                                     , 186.94  
Royale FM2                       , molBench                                                     , 33.25   
Royale FM2                       , cellx1000                                                    , 19.64   
Royale FM2                       , cellx2500                                                    , 93.66   
Royale FM2                       , 2-10x5 - lazy80%                                             , 576.02  
Royale FM2                       , 6-10x10 - dyn25% - lazy80%                                   , 314.45  
Royale FM2                       , 4-1000x12 - dyn5%                                            , 650.36  
Royale FM2                       , 25-1000x5                                                    , 757.85  
Royale FM2                       , 3-5x500                                                      , 275.15  
Royale FM2                       , 6-100x15 - dyn50%                                            , 402.53  
Royale FH1                       , createSignals                                                , 13.43   
Royale FH1                       , createComputations                                           , 934.43  
Royale FH1                       , updateSignals                                                , 1163.67 
Royale FH1                       , avoidablePropagation                                         , 318.45  
